00001,CKH HOLDINGS
00002,CLP HOLDINGS
00003,HK & CHINA GAS
00004,WHARF HOLDINGS
00005,HSBC HOLDINGS
00006,POWER ASSETS
00007,HK FINANCE INV
00008,PCCW
00009,KEYNE LTD
00010,HANG LUNG GROUP
00011,HANG SENG BANK
00012,HENDERSON LAND
00014,HYSAN DEV
00015,VANTAGE INT'L
00016,SHK PPT
00017,NEWWORLDDEV-NEW
00018,ORIENTAL PRESS
00019,SWIRE PACIFIC A
00020,WHEELOCK
00021,GREAT CHI PPT
00022,MEXAN
00023,BANK OF E ASIA
00024,BURWILL
00025,CHEVALIER INT'L
00026,CHINA MOTOR BUS
00027,GALAXY ENT
00028,TIAN AN
00029,DYNAMIC HOLD
00030,BAN LOONG HOLD
00031,CHINA AEROSPACE
00032,CROSS-HAR(HOLD)
00033,AMBER HILL FIN
00034,KOWLOON DEV
00035,FE CONSORT INTL
00036,FE HLDGS INTL
00037,FE HOTELS
00038,FIRST TRACTOR
00039,CH BEIDAHUANG
00040,GOLD PEAK
00041,GREAT EAGLE H
00042,NE ELECTRIC
00043,C.P. POKPHAND
00045,HK&S HOTELS
00046,COMPUTER & TECH
00047,HOP HING GROUP
00048,C AUTO INT DECO
00050,HK FERRY (HOLD)
00051,HARBOUR CENTRE
00052,FAIRWOOD HOLD
00053,GUOCO GROUP
00055,NEWAY GROUP
00056,ALLIED PPT (HK)
00057,CHEN HSONG HOLD
00058,SUNWAY INT'L
00059,SKYFAME REALTY
00060,HK FOOD INV
00061,GREEN LEADER
00062,TRANSPORT INT'L
00063,CHINA GRAPHENE
00064,GET NICE
00065,GRAND OCEAN AR
00066,MTR CORPORATION
00067,LUMENA NEWMAT
00068,LEE HING
00069,SHANGRI-LA ASIA
00070,RICH GOLDMAN
00071,MIRAMAR HOTEL
00072,MODERN MEDIA
00073,ASIAN CITRUS
00075,Y.T. REALTY
00076,ELATE HOLDINGS
00077,AMS TRANSPORT
00078,REGAL INT'L
00079,CENTURY LEGEND
00080,CNEWECON FUND
00081,CH OVS G OCEANS
00082,V1 GROUP
00083,SINO LAND
00084,STELUX HOLDINGS
00085,CE HUADA TECH
00086,SUN HUNG KAI CO
00087,SWIRE PACIFIC B
00088,TAI CHEUNG HOLD
00089,TAI SANG LAND
00090,PUXING ENERGY
00091,GOLDEN CEN INTL
00092,CHAMPION TECH
00093,TERMBRAY IND
00094,GREENHEART GP
00095,LVGEM CHINA
00096,YUSEI
00097,HENDERSON INV
00098,XINGFA ALUM
